"access","4.0 Use JLayout directly","./libraries/cms/html/batch.php"
"item","4.0 instead of JHtml::_('batch.item'); use JLayoutHelper::render('joomla.html.batch.item', array('extension' => 'com_XXX'));","./libraries/cms/html/batch.php"
"language","4.0 instead of JHtml::_('batch.language'); use JLayoutHelper::render('joomla.html.batch.language', array());","./libraries/cms/html/batch.php"
"user","4.0 instead of JHtml::_('batch.user'); use JLayoutHelper::render('joomla.html.batch.user', array());","./libraries/cms/html/batch.php"
"tag","4.0 instead of JHtml::_('batch.tag'); use JLayoutHelper::render('joomla.html.batch.tag', array());","./libraries/cms/html/batch.php"
"framework","4.0 Update scripts to jquery","./libraries/cms/html/behavior.php"
"formvalidation","3.4 Use formvalidator instead","./libraries/cms/html/behavior.php"
"modal","4.0  Use the modal equivalent from bootstrap","./libraries/cms/html/behavior.php"
"calendar","4.0","./libraries/cms/html/behavior.php"
"colorpicker","4.0 Use directly the field or the layout","./libraries/cms/html/behavior.php"
"simplecolorpicker","4.0 Use directly the field or the layout","./libraries/cms/html/behavior.php"
"noframes","4.0  Add a X-Frame-Options HTTP Header with the SAMEORIGIN value instead.","./libraries/cms/html/behavior.php"
"_getJSObject","13.3 (Platform) & 4.0 (CMS) - Use JHtml::getJSObject() instead.","./libraries/cms/html/behavior.php"
"affix","4.0  Bootstrap 4.0 dropped this so will Joomla.","./libraries/cms/html/bootstrap.php"
"modal","4.0  This method was used by the old renderModal() implementation.","./libraries/cms/html/bootstrap.php"
"tooltipExtended","4.0 No replacement, use Bootstrap tooltips.","./libraries/cms/html/bootstrap.php"
"typeahead","4.0  Bootstrap 4.0 dropped this so will Joomla.","./libraries/cms/html/bootstrap.php"
"startPane","4.0	Use JHtml::_('bootstrap.startTabSet') instead.","./libraries/cms/html/bootstrap.php"
"endPane","4.0	Use JHtml::_('bootstrap.endTabSet') instead.","./libraries/cms/html/bootstrap.php"
"addPanel","4.0 Use JHtml::_('bootstrap.addTab') instead.","./libraries/cms/html/bootstrap.php"
"endPanel","4.0 Use JHtml::_('bootstrap.endTab') instead.","./libraries/cms/html/bootstrap.php"
"action","4.0]","./libraries/cms/html/jgrid.php"
"assetFormWidget","4.0","./libraries/cms/html/rules.php"
"_getParentAssetId","4.0","./libraries/cms/html/rules.php"
"_getUserGroups","4.0","./libraries/cms/html/rules.php"
"_getImagesArray","4.0","./libraries/cms/html/rules.php"
"suggestionlist","4.0  Just create the `<datalist>` directly instead","./libraries/cms/html/select.php"
"optgroup","4.0  Use JHtmlSelect::groupedList()","./libraries/cms/html/select.php"
"start","3.7.0 These helpers are dependent on the deprecated MooTools support","./libraries/cms/html/sliders.php"
"end","3.7.0 These helpers are dependent on the deprecated MooTools support","./libraries/cms/html/sliders.php"
"panel","3.7.0 These helpers are dependent on the deprecated MooTools support","./libraries/cms/html/sliders.php"
"loadBehavior","3.7.0 These helpers are dependent on the deprecated MooTools support","./libraries/cms/html/sliders.php"
"_proceedSaveOrderButton","4.0 The logic is merged in the JLayout file","./libraries/cms/html/sortablelist.php"
"start","3.7.0 These helpers are dependent on the deprecated MooTools support","./libraries/cms/html/tabs.php"
"end","3.7.0 These helpers are dependent on the deprecated MooTools support","./libraries/cms/html/tabs.php"
"panel","3.7.0 These helpers are dependent on the deprecated MooTools support","./libraries/cms/html/tabs.php"
"loadBehavior","3.7.0 These helpers are dependent on the deprecated MooTools support","./libraries/cms/html/tabs.php"
"__construct","4.0  without replacement","./libraries/cms/less/less.php"
"authorise","2.0  Use JAccess instead.","./libraries/fof/controller/controller.php"
"accesspublic","since 2.0","./libraries/fof/controller/controller.php"
"accessregistered","since 2.0","./libraries/fof/controller/controller.php"
"accessspecial","since 2.0","./libraries/fof/controller/controller.php"
"&_createView","since version 2.0","./libraries/fof/controller/controller.php"
